property_id,latitude,longitude,park,gym,shop
9a4447d9fab2c6344309f4b79d6456b5,51.4843946,-0.2167468,Normand Park,Virgin Active,Tesco Express
b4febc5a7746ffe1e250bd0ab960303e,51.5043933,-0.0457696,Stave Hill Ecological Park - TCV,Canada Water Studios,Sainsbury's Local
fc79ec4fb67793c405ac76a47fc56fcd,51.5634977,0.0080805,Langthorne Park,PureGym London Leytonstone,Aldi
2ef222d612273ce9a85016454e5d9f86,51.5208814,-0.076898,Spitalfields City Farm,BLOK Shoreditch,Marks and Spencer
39c8b56befc8676a04c6fe5ccba75a31,51.5703214,-0.0252862,Leyton Jubilee Park,Walthamstow Leisure Centre,ALDI
0ee4ff8504b69b0fe928f0afe42e8bad,51.423903,-0.0319646,Beckenham place Park Pond,My Aerial Home,Sainsbury's
3252a9ebb1eb76a77fd2b7845e9ad06a,51.485455,-0.1028439,Kennington Park,The Castle Centre,Tesco Superstore
a5d61405e7997adc8b08e6ba152a46f5,51.4202513,-0.1749588,Lavender Park,Tooting Leisure Centre,Sainsbury's
074c3c19605b2211dcb2b30a8cb6f5e2,51.5445349,0.0496642,Plashet Park,The Gym Group London East Ham High Street,Sakthi Cash & Carry
9c593268ae163a910622cf8c1a2dd020,51.5090286,0.0134757,Keir Hardie Recreation Ground,The Gym Group London Canning Town,Morrisons
7aaf6a50c674158b1d96fcb95bea7035,51.5443588,-0.0269751,Queen Elizabeth Olympic Park,Copper Box Arena,Sainsbury's Local
ee6fe09deebe6ac75692121eb359f9c3,51.5080806,-0.1237903,St James's Park,Park Plaza London Westminster Bridge,Whole Foods Market
f1f6c45300f0573c7a7fa2219f6166bc,51.5455627,-0.1798697,Alexandra Road Park,Swiss Cottage Leisure Centre,Waitrose & Partners
2d13e1fc02d2a93c55cdb66036ce7a10,51.4999492,-0.1669548,Hyde Park,Ethos Sports Centre,Waitrose & Partners
67c2e88ef792dc85a9299195e5c5341c,51.51864190000001,-0.0573048999999999,Spitalfields City Farm,Muscleworks Gym,Sainsbury's
53f93dcc2696fbf515cef808c51174a1,51.4984924,-0.0259151,Jubilee Park,Third Space Canary Wharf,Waitrose & Partners
6e694ece0dcf1b4722cb65a8bc4e4e48,51.541295,0.0058709,West Ham Park,Atherton Leisure Centre,Morrisons
eeb5d041cb97304986d4361673f745c4,51.4400938,-0.214949,Wimbledon Park,The Wimbledon Club,M&S Foodhall
22990e24c5b371c11e37e920338b8441,51.4533061,-0.1205798,Brockwell Park,Brockwell Lido,Tesco Superstore
581e91e2de86ba2f6a58ae274493f095,51.5001337,-0.3174895,Lammas Park,London Fight Academy,Sainsbury's Local
01e9d6421dbf96ba1332cb57ca028977,51.4813159,-0.1325874,Power Station Park,Third Space Battersea,Sainsbury's
cb5b3594a81f56448b7e16b44bdf95f8,51.5189256,-0.1730681,Italian Gardens,Royal Lancaster London,ALDI
abdb19f759657f029299822b85060643,51.5068967,0.0737662999999999,Royal Victoria Gardens,SportsDock,Nisa Local
